Shoes Table Data for Excel,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
shoeID,categoryID,name,brandID,price,releaseDate,description,material,gender,image_url,size_range,colour,Upref_stores
1,1,Air Zoom Pegasus 40,1,1299.99,2024/03/15,Premium running shoe with responsive Zoom Air cushioning for daily training,Mesh/Synthetic,Female,https://i.pinimg.com/736x/97/8e/f8/978ef8395cef63f22efff742f18f77be.jpg,12-Jul,Black/White,1
2,1,Ultraboost 23,1,1899.99,2024/02/20,Energy-returning running shoe with Boost midsole technology,Primeknit,Male,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/99486859-0ff3-46b4-949b-2d16af2ad421/custom-nike-dunk-high-by-you-shoes.png",10-May,Core Black,2
3,1,Gel-Cumulus 27,6,1599.99,2024/01/10,Experience a soft feel underfoot with the new ASICS GEL-CUMULUS 27 running shoes. This neutral everyday trainer is a versatile choice for various running workouts and distances.,Mesh/Synthetic,Female,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,q_auto:good/v1575961299/assets/1180345_1180345-ULB_001.jpg",11-May,Ube/light Ube,3
4,1,Fresh Foam X 1080v13,4,1749.99,2024/04/05,Ultra-soft running shoe with Fresh Foam X midsole for maximum comfort,Hypoknit,Male,https://i.pinimg.com/736x/dd/03/57/dd0357e0a3382c9943bd89579d163225.jpg,13-Jul,Navy/Orange,4
5,1,Hoka Clifton 9,6,1649.99,2024/02/28,Lightweight daily trainer with maximum cushioning and smooth ride,Engineered Mesh,Female,https://i.pinimg.com/736x/54/33/a5/5433a5672cdffaf71c2db5f7e6da65a5.jpg,10-May,White/Blue,5
6,1,Floatride Energy 5,5,1199.99,2024/01/25,Responsive daily trainer with FloatRide Energy foam,Mesh/Synthetic,Female,https://i.pinimg.com/736x/ed/57/f5/ed57f53cd782aa11203d003e45da5637.jpg,12-Jul,Blue/Orange,6
7,2,Stan Smith,2,899.99,2024/01/15,Iconic casual sneaker with clean white leather design,Leather,Prefer not to say,https://i.pinimg.com/736x/83/76/5f/83765f2e61e233a4a0950138db3d51ef.jpg,12-Apr,White/Green,7
8,2,Air Force 1 Low,1,1199.99,2024/03/20,Classic basketball-inspired lifestyle shoe with Air cushioning,Leather,Male,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b7d9211c-26e7-431a-ac24-b0540fb3c00f/air-force-1-07-shoes-WrLlWX.png",13-Jun,Triple White,8
9,2,Suede Classic,3,749.99,2024/02/10,Timeless suede sneaker with classic basketball heritage,Suede,Female,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/374915/25/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers",10-May,Blue/White,9
10,2,Authentic Fits,10,649.99,2024/01/30,Original skate shoe with waffle outsole and timeless style,Canvas,Prefer not to say,https://i.pinimg.com/736x/81/c5/ad/81c5adec10fca20646fc4d984bb7ba1f.jpg,12-Jun,Navy,10
11,2,Runner Classics,5,899.99,2024/02/17,New Reebok Leather Classic Sneakers Shoes Black Gum,Leather,Female,https://i.pinimg.com/736x/5a/40/3d/5a403d421776654f997b0e502371d0a0.jpg,12-Jul,Black,6
